s_name,scheme_code,aumdate,aumtotal,fincode,invdate,noshares,percent_aum
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,279527,2023-11-30T00:00:00.000Z,2835447,0.45
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,214179,2023-11-30T00:00:00.000Z,817305,0.32
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100469,2023-11-30T00:00:00.000Z,2872636,0.30
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,120056,2023-11-30T00:00:00.000Z,999598,2.30
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,296214,2023-11-30T00:00:00.000Z,3528493,0.29
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100387,2023-11-30T00:00:00.000Z,14508,0.27
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,229365,2023-11-30T00:00:00.000Z,1465175,0.24
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,254493,2023-11-30T00:00:00.000Z,331478,0.19
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,242461,2023-11-30T00:00:00.000Z,829035,0.10
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132174,2023-10-31T00:00:00.000Z,11929740,8.07
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100180,2023-10-31T00:00:00.000Z,6296704,6.87
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100325,2023-10-31T00:00:00.000Z,3160213,5.34
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100209,2023-10-31T00:00:00.000Z,4595392,4.65
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100510,2023-10-31T00:00:00.000Z,2095752,4.54
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,117174,2023-10-31T00:00:00.000Z,145085,3.86
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100112,2023-10-31T00:00:00.000Z,8478465,3.54
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132843,2023-10-31T00:00:00.000Z,11057579,2.64
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,107815,2023-10-31T00:00:00.000Z,570837,2.58
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132638,2023-10-31T00:00:00.000Z,5341050,2.53
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132215,2023-10-31T00:00:00.000Z,3163737,2.29
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132454,2023-10-31T00:00:00.000Z,3273420,2.21
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,132540,2023-10-31T00:00:00.000Z,812780,2.02
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,106285,2023-10-31T00:00:00.000Z,467227,1.70
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100520,2023-10-31T00:00:00.000Z,1484660,1.60
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,100034,2023-10-31T00:00:00.000Z,274232,1.52
Aditya Birla SL ELSS Tax Saver Fund(G),4637,2023-12-31T00:00:00.000Z,14917.96,124715,2023-10-31T00:00:00.000Z,1821900,1.47
